S No.,Title,Filesize,Duration,Track Total,Year,Bitrate,Composer,Title,Album Artist,Artist,Genre
1,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Deepjack MrNu feat Veselina Popova  Crush Liva K Maxim Kurtys Remix.mp3,6802004,425.4742669481586,0,0,128.0,0,0,0,0,0
2,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Desperately Don Williams.mp3,3010279,188.2876221753069,0,0,128.0,0,0,0,0,0
3,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Modern Talking  Youre My Heart Youre My Soul.mp3,5329534,333.3657361795293,0,0,128.0,0,0,0,0,0
4,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Billy Idol  Rebel Yell.mp3,4562579,285.38981937602625,0,0,128.0,0,0,0,0,0
5,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Sayonee - Junoon.mp3,4899454,306.46261631089214,0,0,128.0,0,0,0,0,0
6,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/R.E.M. - Losing My Religion.mp3,4290070,268.3433575729142,0,0,128.0,0,0,0,0,0
7,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Party All Night - Honey Singh.mp3,3841599,240.28981155680665,0,0,128.0,0,0,0,0,0
8,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Attention - Charlie Puth.mp3,3417371,213.75275627492377,0,0,128.0,0,0,0,0,0
9,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Cornelius Brothers Treat Her Like A Lady.mp3,2567242,160.5739932754711,0,0,128.0,0,0,0,0,0
10,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Superheavy Funk.mp3,5989492,374.64858863085465,0,0,128.0,0,0,0,0,0
11,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Badshah - Lover Boy.mp3,3047059,190.5883493627336,0,0,128.0,0,0,0,0,0
12,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Donna Summer Love to love you baby 1976.mp3,2973498,185.98683243412304,0,0,128.0,0,0,0,0,0
13,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/I Took A Pill In Ibiza Mike Posner.mp3,3141100,196.4709672374697,0,0,128.0,0,0,0,0,0
14,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/INXS  Suicide Blonde 1990.mp3,3749230,234.5117835640003,0,0,128.0,0,0,0,0,0
15,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Modern Talking  Brother Louie.mp3,3536071,221.17788724685275,0,0,128.0,0,0,0,0,0
16,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Donna Summer  I Feel Love.mp3,5648437,353.3143169911643,0,0,128.0,0,0,0,0,0
17,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Toly Braun  My Mind.mp3,4805413,300.5799984361561,0,0,128.0,0,0,0,0,0
18,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Kala Chashma - Prem & Hardeep ft Badshah.mp3,2777057,173.6987098287591,0,0,128.0,0,0,0,0,0
19,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Mercy - Badshah.mp3,2602350,162.770130580968,0,0,128.0,0,0,0,0,0
20,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Slow Motion Song - Bharat.mp3,3060434,191.42500586441471,0,0,128.0,0,0,0,0,0
21,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Rod Stewart  Passion.mp3,5282305,330.41138478379855,0,0,128.0,0,0,0,0,0
22,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Sonny Fodera  Into You ft Sinead Harnett.mp3,3439105,215.11229963249664,0,0,128.0,0,0,0,0,0
23,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/OneRepublic  Counting Stars.mp3,4103660,256.68271170537173,0,0,128.0,0,0,0,0,0
24,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Papa's got a brand new bag.mp3,5200897,127.8796906930492,0,0,320.0,0,Papas Got a Brand New Bag (128 BPM),0,"Epic Workout Beats, Workout Buddy, Exercise Music Prodigy, Fitness Workout Hits, House Workout, Cardio Dance Crew, Running Songs Workout Music Dance P",0
25,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/BT Express  Do It Til Youre Satisfied.mp3,5627121,351.9809211040738,0,0,128.0,0,0,0,0,0
26,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Paul Kalkbrenner  NO GOODBYE.mp3,2686778,168.051419188365,0,0,128.0,0,0,0,0,0
27,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Stevie Wonder Superstition.mp3,4277531,267.55899601219795,0,0,128.0,0,0,0,0,0
28,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/INXS  Need You Tonight.mp3,3081750,192.7584017515052,0,0,128.0,0,0,0,0,0
29,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Fat Larrys Band  Act Like You Know.mp3,6242357,390.46624442880596,0,0,128.0,0,0,0,0,0
30,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Kenny Rogers  Coward Of The County.mp3,4133753,258.5651419188365,0,0,128.0,0,0,0,0,0
31,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Felon - Crazy.mp3,2881965,180.26109938228163,0,0,128.0,0,0,0,0,0
32,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Radio Ga Ga.mp3,5572368,348.55591523965904,0,0,128.0,0,0,0,0,0
33,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Robert Palmer Addicted To Love.mp3,4258723,266.3824849480022,0,0,128.0,0,0,0,0,0
34,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Bill Withers - Lovely Day.mp3,4082762,255.3754632887638,0,0,128.0,0,0,0,0,0
35,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/James Brown  Papas Got A Brand New Bag 1965.mp3,4155069,259.898537805927,0,0,128.0,0,0,0,0,0
36,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Verzache - Needs.mp3,2844767,177.9342247243725,0,0,128.0,0,0,0,0,0
37,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Jay Sean Maybe Deepjack  Mr Nu Radio.mp3,4542935,284.1610133708656,0,0,128.0,0,0,0,0,0
38,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/thriller.mp3,5745812,359.2420707105245,0,    ,128.0,0,thriller                      ,0,mick                          ,0
39,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Bad Boy - Badshah Neeti Mohan.mp3,3055418,191.11123621862538,0,0,128.0,0,0,0,0,0
40,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Hercules Love Affair Do You Feel The Same Purple Disco Machine Remix.mp3,6574635,411.2514817421221,0,0,128.0,0,0,0,0,0
41,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Enur feat. Natasja - Calabria 2007.mp3,3896770,243.7409648917038,0,0,128.0,0,0,0,0,0
42,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/bryan adams - so far so good - run to you.mp3,3715147,232.7227680712573,0,1993,128.0,0,Run To You                    ,0,Bryan Adams                   ,Pop
43,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Track 02.mp3,3463254,216.2717441212962,0,1999,128.0,0,Track 02,0,artist,Pop
44,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/The Rolling Stones I Cant Get No Satisfaction.mp3,3758844,235.11317538509653,0,0,128.0,0,0,0,0,0
45,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/The Prince Karma Later Bitches.mp3,4010037,250.82624130111813,0,0,128.0,0,0,0,0,0
46,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Badshah - Paagal.mp3,2932956,183.45077801235436,0,0,128.0,0,0,0,0,0
47,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Charlie Puth  How Long.mp3,3358857,210.09248572992414,0,0,128.0,0,0,0,0,0
48,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Rick James Super Freak 12 Version.mp3,6810364,425.9972163578075,0,0,128.0,0,0,0,0,0
49,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Dean Hale Everytime.mp3,6023764,376.7924309953866,0,0,128.0,0,0,0,0,0
50,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Post Malone Swae Lee - Sunflower.mp3,6438381,158.7871112916836,0,2018,320.0,0,Sunflower | 1604ENT.COM,0,Post Malone & Swae Lee,1604ENT.COM
51,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Oliver Cheatham Get Down Saturday Night Funk 1983.mp3,6173812,386.17849714598475,0,0,128.0,0,0,0,0,0
52,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Kygo ft Ella Henderson  Here For You.mp3,3924773,245.49265775275626,0,0,128.0,0,0,0,0,0
53,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Indeep Last Night A DJ Saved My Life 1982.mp3,13666288,854.860896082571,0,0,128.0,0,0,0,0,0
54,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Parcels - Gamesofluck LImpératrice Remix.mp3,5521795,345.3923840800688,0,0,128.0,0,0,0,0,0
55,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Heatwave  Boogie Nights 1976.mp3,4759438,297.70408945187273,0,0,128.0,0,0,0,0,0
56,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Harry Styles - Watermelon Sugar.mp3,2784581,174.1693642974431,0,0,128.0,0,0,0,0,0
57,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Stardust  Music Sounds Better With You.mp3,4210239,263.349628587067,0,0,128.0,0,0,0,0,0
58,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Sly  The Family Stone  Family Affair 1971.mp3,7507101,469.5807334428024,0,0,128.0,0,0,0,0,0
59,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/A Taste Of Honey  Boogie Oogie Oogie 1978.mp3,3514337,219.81834388927984,0,0,128.0,0,0,0,0,0
60,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Parcels Gamesofluck.mp3,5571532,348.50362029869416,0,0,128.0,0,0,0,0,0
61,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Ralla CASSIMM Remix.mp3,6111536,382.2828993666432,0,0,128.0,0,0,0,0,0
62,"/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Clean Bandit, Demi Lovato - Solo.mp3",3541923,221.543951833607,0,0,128.0,0,0,0,0,0
63,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/The Animals - The House Of The Rising Sun 1964.mp3,6147898,256.2898232769009,0,0,192.0,0,0,0,0,0
64,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Rick James  Ghetto Life.mp3,4374915,273.6507310970365,0,0,128.0,0,0,0,0,0
65,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Bruce Springsteen Im on Fire.mp3,2601515,162.71789819376025,0,0,128.0,0,0,0,0,0
66,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Dire Straits  Sultans Of Swing.mp3,5551888,347.2748142935335,0,0,128.0,0,0,0,0,0
67,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/We no speak americano.mp3,4323924,270.4610524669638,0,0,128.0,0,0,0,0,0
68,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Creedence Clearwater Revival  Suzie Q.mp3,4481913,280.3438580029713,0,0,128.0,0,0,0,0,0
69,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Down that road Virie  Zaza.mp3,4771977,298.48845101258894,0,0,128.0,0,0,0,0,0
70,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Sia  Cheap Thrills.mp3,3923519,245.4142153413089,0,0,128.0,0,0,0,0,0
71,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Clean Bandit Rockabye.mp3,3996662,249.989584799437,0,0,128.0,0,0,0,0,0
72,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Could You Be Loved 1984  Bob Marley The Wailers.mp3,5221283,326.59422941590424,0,0,128.0,0,0,0,0,0
73,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Kygo Donna Summer  Hot Stuff.mp3,3189165,199.47761357416528,0,0,128.0,0,0,0,0,0
74,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Regard - Ride it.mp3,3785593,157.807231772377,0,0,192.0,0,0,0,0,0
75,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Led Zeppelin  Stairway To Heaven.mp3,7719425,482.86239737274224,0,0,128.0,0,0,0,0,0
76,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Regard RAYE  Secrets.mp3,2833900,177.25445304558602,0,0,128.0,0,0,0,0,0
77,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Max Lyazgin  Eyes All Over Me.mp3,5533498,346.12445069982016,0,0,128.0,0,0,0,0,0
78,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Riton x Oliver Heldens Turn Me On ft Vula.mp3,3709106,232.00187661271403,0,0,128.0,0,0,0,0,0
79,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/The Weeknd - Blinding Lights.mp3,4880228,203.44168268009403,0,0,192.0,0,0,0,0,0
80,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/The Whispers And The Beat Goes On 1979.mp3,4738540,296.3968410352647,0,0,128.0,0,0,0,0,0
81,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Loud Luxury  Body feat brando.mp3,2613217,163.44990225975445,0,0,128.0,0,0,0,0,0
82,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Nakhra Nawabi - Badshah.mp3,4012963,251.00927359449528,0,0,128.0,0,0,0,0,0
83,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Inner Rebels  Hold You Matvey emreson.mp3,5229642,327.117116271796,0,0,128.0,0,0,0,0,0
84,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Seal Crazy.mp3,5705697,356.89614512471655,0,0,128.0,0,0,0,0,0
85,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Badshah - She Move It Like.mp3,2956780,184.9410587223395,0,0,128.0,0,0,0,0,0
86,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/ATB  9pm.mp3,3659369,228.89064039408865,0,0,128.0,0,0,0,0,0
87,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Summer Wine.mp3,4101988,256.578121823442,0,0,128.0,0,0,0,0,0
88,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Parcels  Herefore Roisto Remix.mp3,5122226,320.3978418953788,0,0,128.0,0,0,0,0,0
89,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Foreigner - Waiting for a Girl like You.mp3,4628199,289.49459691922743,0,0,128.0,0,0,0,0,0
90,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Abhi Toh Party Shuru Hui Hai - Badshah Aastha.mp3,3029505,189.49028070998514,0,0,128.0,0,0,0,0,0
91,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Family Affair - Shock Band.mp3,3881306,242.7736335913676,0,0,128.0,0,0,0,0,0
92,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Ben Daley Forever.mp3,6259401,154.34589492764948,0,2020,320.0,0,Forever,0,Ben Delay,0
93,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Trust Me Tosel Hale Remix.mp3,6324277,395.5906482133083,0,0,128.0,0,0,0,0,0
94,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Max Vertigo After All.mp3,6310066,394.7016967706623,0,0,128.0,0,0,0,0,0
95,/home/popsauce/DBMS_S6/clone/PySimpleGUI-Music-Player/Music/Ava Max take you to hell.mp3,6669001,164.58685501765794,0,2020,320.0,0,Take You To Hell,0,Ava Max,0
